Day,Tout,Baba,Hatoor,Kiahk,Toba,Amshir,Baramhat,Baramoda,Bashans,Baona,Apip,Mesra,Nasie,Day
1,1,39,54,18,29,15,19,48,46,29,39,17,65,1
2,2,54,24,52,54,40,23,56,57,51,45,39,66,2
3,54,18,15,46,30,48,24,54,29,23,54,57,67,3
4,3,41,23,55,31,12,15,19,24,17,17,3,68,4
5,39,18,22,3,21,13,23,3,3,37,55,38,23,5
6,3,39,18,54,32,17,22,39,43,56,29,39,69,6
7,54,48,43,40,18,54,19,3,54,43,40,9,,7
8,3,21,14,41,54,32,55,39,43,49,13,47,,8
9,23,18,15,37,13,57,48,37,4,3,45,17,,9
10,39,41,39,23,33,55,5,48,47,19,23,22,,10
11,44,54,9,52,34,24,8,39,23,44,44,23,,11
12,15,10,16,48,35,48,24,54,18,51,17,5,,12
13,18,48,54,9,36,44,41,19,37,67,23,58,,13
14,57,11,23,44,48,18,8,24,57,23,13,18,,14
15,29,56,17,18,3,52,39,29,10,17,57,39,,15
16,4,24,52,22,44,4,24,31,31,52,31,46,,16
17,5,54,18,57,52,44,23,55,23,37,39,59,,17
18,6,24,55,12,23,18,56,44,13,24,55,54,,18
19,7,56,41,23,19,48,29,23,37,43,19,13,,19
20,39,40,45,3,29,24,24,56,48,3,56,19,,20
21,8,3,18,55,46,55,58,8,57,46,41,39,,21
22,44,12,19,25,37,23,54,24,29,19,44,3,,22
23,8,23,23,70,23,44,3,43,45,37,22,43,,23
24,29,37,20,31,39,45,24,56,49,57,17,23,,24
25,3,48,21,40,48,56,11,39,21,29,21,60,,25
26,9,29,19,39,38,3,39,56,50,3,3,61,,26
27,19,13,22,23,44,18,13,44,23,45,43,43,,27
28,19,21,23,26,17,56,4,21,18,54,39,62,,28
29,39,22,24,27,46,30,42,29,57,48,55,63,,29
30,18,45,54,28,39,51,25,45,54,53,19,64,,30
,,,,,,,,,,,,,,
,Days with Unique readings,,,,,,,,,,,,,
,Days in which Lent and the Holy Fifties fall,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Unique Days Readings,,,,,,,,,,Text Done?,PTT Done?,,
