Day,V Psalm,V Gospel,M Psalm,M Gospel,Pauline,Catholic,Acts,L Psalm,L Gospel,,,,
,1 Tout,Psalms 96:1-2,Matthew 13:44-52,Psalms 98:1,Mark 2:18-22,2 Corinthians 5:11-6:13,1 John 2:7-17,Acts 17:16-34,Psalms 65:11;81:1,Luke 4:14-30,,,,
,2 Tout,Psalms 52:8-9,Matthew 14:1-12,"Psalms 92:10,14-15",Luke 9:7-12,Hebrews 11:32-12:2,James 5:9-20,Acts 12:1-12,Psalms 92:12-13,Mark 6:14-29,,,,
,8 Tout,Psalms 105:14-15,Luke 11:37-51,"Psalms 105:26-27,45",Matthew 17:1-9,Hebrews 11:17-27,2 Peter 1:19-2:8,Acts 15:21-29,Psalms 99:6-7,Matthew 23:13-36,,,,
,16 Tout,Psalms 84:3-4,Luke 7:1-10,"Psalms 26:8,7",Luke 19:1-10,Hebrews 9:1-10,1 Peter 2:1-10,Acts 9:31-43,Psalms 65:1-2,Matthew 16:13-19,,,,
,17 Tout,Psalms 4:6-8,John 8:28-42,Psalms 60:4-5,John 12:26-36,1 Corinthians 1:17-31,1 Peter 2:11-25,Acts 10:34-43,Psalms 65:1-2,John 10:22-38,,,,
,18 Tout,"Psalms 99:9,5",John 4:19-24,"Psalms 118:28,16",John 3:14-21,Galatians 6:11-18,1 Peter 1:3-12,Acts 4:8-18,Psalms 145:1-2,John 6:35-46,,,,
,19 Tout,"Psalms 45:6,17",Matthew 16:21-26,"Psalms 74:2,12",Mark 8:34-9:1,Colossians 2:6-19,1 John 5:13-21,Acts 3:12-21,"Psalms 61:2-3,5",Luke 14:25-35,,,,
,21 Tout,Psalms 64:10,Mark 4:21-25,Psalms 70:5,Mark 3:22-27,Philippians 1:1-11,1 John 2:7-11,Acts 19:11-17,Psalms 16:10-11,Mark 3:28-35,,,,
,26 Tout,"Psalms 9:11,14",Mark 14:3-9,Psalms 102:19-21,Mark 12:41-44,Romans 1:1-17,James 1:1-18,Acts 7:2-7,"Psalms 102:13,16-17",Luke 1:1-25,,,,
0,12 Baba,Psalms 22:22-23,Matthew 9:9-13,Psalms 40:9-10,Mark 2:13-17,Ephesians 4:11-19,1 Peter 1:3-12,Acts 5:12-18,Psalms 68:11-12,Luke 5:27-32,,,,
1,14 Baba,"Psalms 68:3,35",Luke 10:1-20,Psalms 145:10-12,John 1:43-51,Titus 2:11-3:7,1 John 5:5-13,Acts 8:26-39,Psalms 32:1-2,John 3:1-21,,,,
2,22 Baba,Psalms 105:1-3,Luke 9:1-6,"Psalms 68:24,26",Luke 17:5-10,Colossians 4:2-18,1 Peter 3:15-22,Acts 1:1-14,Psalms 96:2-3,Luke 10:1-20,,,,
3,27 Baba,Psalms 112:1-2,Matthew 25:14-23,"Psalms 132:1-2,9-10",Luke 6:17-23,Hebrews 11:17-31,James 1:12-21,Acts 19:11-20,Psalms 1:1,Matthew 4:23-5:16,,,,
4,8 Hatoor,Psalms 68:17,Mark 8:34-9:1,"Psalms 33:6,9",John 12:26-36,Hebrews 12:21-13:2,1 Peter 3:15-22,Acts 11:2-14,Psalms 80:1-3,John 1:43-51,,,,
5,9 Hatoor,"Psalms 32:11,6",Matthew 25:14-23,Psalms 112:1-2,Luke 6:17-23,Romans 4:13-5:5,1 Peter 1:3-12,Acts 11:15-24,Psalms 19:4;132:9-10,Matthew 16:13-19,,,,
6,12 Hatoor,Psalms 148:1-2,Matthew 13:44-52,"Psalms 104:4,3",Luke 15:3-10,Hebrews 1:1-2:4,Jude 1:1-13,Acts 10:1-20,Psalms 103:20-21,Matthew 13:24-43,,,,
7,15 Hatoor,"Psalms 68:35,3",Matthew 10:16-23,Psalms 97:11-12,Mark 13:9-13,Hebrews 12:3-14,1 Peter 4:12-19,Acts 7:44-8:1,Psalms 34:19-20,Luke 11:53-12:12,,,,
8,17 Hatoor,"Psalms 132:9-10,17-18",Matthew 4:23-5:16,"Psalms 110:4-5,7",Luke 6:17-23,2 Timothy 3:10-4:22,1 Peter 5:1-14,Acts 20:17-38,"Psalms 73:23-24,28",John 10:1-16,,,,
9,22 Hatoor,"Psalms 4:3,6-7",Matthew 10:24-33,Psalms 113:1-2,Mark 8:34-9:1,Romans 8:14-27,1 Peter 2:11-17,Acts 19:11-20,Psalms 66:12-14,Luke 21:12-19,,,,
0,24 Hatoor,Psalms 97:7-8,Matthew 11:25-30,Psalms 138:1-2,Matthew 12:1-8,1 Timothy 5:17-6:2,1 Peter 5:1-14,Acts 15:6-12,"Psalms 132:9-10,17-18",John 1:1-17,,,,
